,predictions,prob_0,prob_1,labels
101,0,0.5713818,0.42861816,0.0
102,0,0.7078086,0.29219142,1.0
103,0,0.85250354,0.14749648,0.0
104,0,0.93947315,0.060526844,0.0
105,0,0.89740694,0.10259309,0.0
106,0,0.9040622,0.09593777,0.0
107,0,0.91958547,0.08041452,0.0
108,0,0.9301009,0.06989907,1.0
109,0,0.96510386,0.03489613,0.0
110,0,0.91132027,0.08867973,1.0
111,1,0.15939748,0.8406025,1.0
112,0,0.9027096,0.09729039,0.0
113,0,0.7065749,0.29342508,1.0
114,0,0.8991234,0.10087665,0.0
115,0,0.94096804,0.059031967,0.0
116,1,0.21353626,0.78646374,0.0
117,0,0.9790896,0.0209104,0.0
118,0,0.68506706,0.3149329,0.0
119,0,0.94823927,0.051760726,1.0
120,0,0.95094985,0.04905014,0.0
121,1,0.28197974,0.71802026,1.0
122,0,0.739575,0.26042494,1.0
123,1,0.083660066,0.91633993,0.0
124,0,0.71463025,0.28536975,0.0
125,0,0.9040622,0.09593777,0.0
126,0,0.95136184,0.048638158,0.0
127,0,0.9255172,0.074482806,0.0
128,0,0.8576342,0.14236583,0.0
129,0,0.94096804,0.059031967,0.0
130,0,0.88576806,0.11423193,0.0
131,0,0.9012582,0.09874184,0.0
132,0,0.930006,0.06999396,0.0
133,0,0.9078042,0.0921958,0.0
134,0,0.93657756,0.063422434,0.0
135,0,0.93767697,0.062323052,0.0
136,0,0.9258464,0.074153595,0.0
137,0,0.5574047,0.4425953,0.0
138,0,0.9265629,0.07343708,0.0
139,0,0.72129726,0.27870277,0.0
140,0,0.9544864,0.045513574,0.0
141,0,0.88338196,0.11661807,0.0
142,0,0.9577799,0.04222014,0.0
143,0,0.8974445,0.1025555,0.0
144,0,0.7835057,0.21649434,0.0
145,0,0.97491604,0.02508398,0.0
146,0,0.96510386,0.03489613,0.0
147,0,0.83594024,0.16405974,1.0
148,0,0.5994874,0.40051258,0.0
149,0,0.65733016,0.34266984,0.0
150,0,0.8232099,0.1767901,0.0
151,0,0.9845363,0.015463734,0.0
152,0,0.81849205,0.18150796,1.0
153,0,0.8628047,0.1371953,0.0
154,0,0.9255172,0.074482806,0.0
155,0,0.9255172,0.074482806,0.0
156,0,0.8329309,0.16706906,0.0
157,0,0.8574929,0.14250705,1.0
158,0,0.9255172,0.074482806,0.0
159,0,0.9465231,0.0534769,0.0
160,0,0.7706015,0.2293985,0.0
161,0,0.9465231,0.0534769,0.0
162,0,0.8765533,0.123446725,1.0
163,1,0.116936326,0.8830637,0.0
164,0,0.9377945,0.06220548,0.0
165,0,0.7673641,0.23263592,0.0
166,0,0.94096804,0.059031967,0.0
167,0,0.9255172,0.074482806,0.0
168,0,0.75895274,0.24104725,0.0
169,0,0.9465231,0.0534769,0.0
170,0,0.6575479,0.3424521,1.0
171,0,0.65602946,0.34397054,1.0
172,0,0.9048331,0.095166914,0.0
173,0,0.9274998,0.072500214,0.0
174,0,0.93318236,0.06681766,0.0
175,0,0.9845363,0.015463734,0.0
176,0,0.9275162,0.072483756,0.0
177,0,0.88042986,0.11957014,0.0
178,0,0.89187247,0.10812755,0.0
179,0,0.9642425,0.035757456,0.0
180,0,0.82023704,0.17976299,0.0
181,1,0.19418842,0.8058116,1.0
182,1,0.1604538,0.8395462,0.0
183,1,0.24859148,0.7514085,0.0
184,0,0.9040622,0.09593777,0.0
185,1,0.24527383,0.7547262,1.0
186,0,0.8969426,0.10305737,0.0
187,0,0.9465231,0.0534769,0.0
188,1,0.42799103,0.57200897,0.0
189,0,0.6447742,0.35522583,0.0
190,0,0.9763326,0.023667412,0.0
191,0,0.6706162,0.3293838,0.0
192,0,0.9782497,0.021750275,0.0
193,0,0.6408242,0.35917583,0.0
194,0,0.93947315,0.060526844,0.0
195,1,0.23800033,0.76199967,1.0
196,0,0.86531454,0.13468546,1.0
197,0,0.9467818,0.05321816,0.0
198,0,0.9782497,0.021750275,0.0
199,0,0.7803185,0.21968149,0.0
200,0,0.945066,0.054934032,1.0
201,0,0.94096804,0.059031967,0.0
202,0,0.87858164,0.12141836,0.0
203,0,0.8229367,0.1770633,0.0
204,0,0.7085985,0.2914015,0.0
205,0,0.865103,0.13489701,1.0
206,0,0.9896724,0.010327557,0.0
207,0,0.6743455,0.3256545,0.0
208,1,0.42371434,0.57628566,0.0
209,1,0.14910257,0.85089743,0.0
210,0,0.7759022,0.2240978,1.0
211,0,0.8938069,0.10619314,0.0
212,0,0.82080144,0.17919855,1.0
